QuestionID,Correct Option(s)/ Answers
7155051441,7155054324
7155051442,7155054327
7155051443,7155054331
7155051444,7155054335
7155051445,7155054339
7155051446,7155054343
7155051447,7155054348
7155051448,7155054352
7155051449,7155054355
7155051450,7155054359
7155051451,7155054362
7155051452,7155054366
7155051453,7155054369
7155051454,7155054375
7155051455,7155054380
7155051456,7155054383
7155051457,7155054385
7155051458,7155054390
7155051459,7155054393
7155051460,7155054397
7155051461,5
7155051462,1
7155051463,40
7155051464,110
7155051465,12
7155051466,11
7155051467,120
7155051468,10
7155051469,2
7155051470,2
7155051471,7155054414
7155051472,7155054418
7155051473,7155054421
7155051474,7155054426
7155051475,7155054427
7155051476,7155054432
7155051477,7155054436
7155051478,7155054442
7155051479,7155054443
7155051480,7155054448
7155051481,7155054451
7155051482,7155054458
7155051483,7155054461
7155051484,7155054466
7155051485,7155054467
7155051486,7155054471
7155051487,7155054477
7155051488,7155054479
7155051489,7155054485
7155051490,7155054489
7155051491,180
7155051492,4
7155051493,492
7155051494,2
7155051495,10
7155051496,917
7155051497,3
7155051498,7
7155051499,25
7155051500,2
7155051501,7155054502
7155051502,7155054508
7155051503,7155054512
7155051504,7155054516
7155051505,7155054519
7155051506,7155054521
7155051507,7155054526
7155051508,7155054532
7155051509,7155054535
7155051510,7155054538
7155051511,7155054544
7155051512,7155054545
7155051513,7155054552
7155051514,7155054556
7155051515,7155054559
7155051516,7155054563
7155051517,7155054566
7155051518,7155054571
7155051519,7155054574
7155051520,7155054580
7155051521,7
7155051522,60
7155051523,12
7155051524,1012
7155051525,546
7155051526,5
7155051527,22
7155051528,2
7155051529,118
7155051530,14
